,relation,head,tail,weight
162166,RelatedTo,hacher/v,hachage,2.0
162167,RelatedTo,hacher/v,hache,2.0
162168,RelatedTo,hacher/v,hachement,2.0
162169,RelatedTo,hacher/v,hacheur,2.0
162170,RelatedTo,hacher/v,hachoir,2.0
162171,RelatedTo,hacher/v,hachure,2.0
162172,RelatedTo,hacher/v,hachurer,2.0
162173,RelatedTo,hakka/n,chine,2.0
162174,RelatedTo,hakken/n,gabber,2.0
162175,RelatedTo,halener/v,haleine,2.0
162176,RelatedTo,hallebardiers/n,hallebardier,2.0
162177,RelatedTo,hallucination/n,hallucinant,2.0
162178,RelatedTo,hallucination/n,halluciné,2.0
162179,RelatedTo,han/n/wikt/fr_2,canada,2.0
162180,RelatedTo,harnacher/v,harnachement,2.0
162181,RelatedTo,harpagon/n,avare,2.0
162182,RelatedTo,hashtag/n,croisillon,2.0
162183,RelatedTo,hassidique/a,hassidisme,2.0
162184,RelatedTo,hassidisme/n,hassidique,2.0
162185,RelatedTo,hausse/n,hausser,2.0
162186,RelatedTo,hausser/v,hausse,2.0
162187,RelatedTo,hausser/v,haussement,2.0
162188,RelatedTo,hausser/v,haut,2.0
162189,RelatedTo,haut_canada/n,canada,2.0
162190,RelatedTo,haut_de_coeur,haut_de_cœur,2.0
162191,RelatedTo,haute_cour/n,château_fort,2.0
162192,RelatedTo,haute_cour/n,cour,2.0
162193,RelatedTo,haute_cour/n,intérieur,2.0
162194,RelatedTo,hautes_cours/n,haute_cour,2.0
162195,RelatedTo,hautes_lices/n,haute_lice,2.0
162196,RelatedTo,hautes_lisses/n,haute_lisse,2.0
162197,RelatedTo,hauteur/n,haut,2.0
162198,RelatedTo,hauts_fourneaux/n,haut_fourneau,2.0
162199,RelatedTo,hazaras/n,hazara,2.0
162200,RelatedTo,heiltsuk/n,colombie_britannique,2.0
162201,RelatedTo,hellénique/a,grec,2.0
162202,RelatedTo,helléniste/n,grec,2.0
162203,RelatedTo,heptateuques/n,heptateuque,2.0
162204,RelatedTo,herbage/n,herbe,2.0
162205,RelatedTo,herbe_au_bitume/n,psoralée_bitumineuse,2.0
162206,RelatedTo,herbe_aux_femmes_battues/n,tamier,2.0
162207,RelatedTo,herbes_aux_femmes_battues/n,herbe_aux_femmes_battues,2.0
162208,RelatedTo,herbu/a,herbe,2.0
162209,RelatedTo,herser/v,herse,2.0
162210,RelatedTo,hespagnol/n,espagnol,2.0
162211,RelatedTo,heure/n,horaire,2.0
162212,RelatedTo,heure/n,horloge,2.0
162213,RelatedTo,heureux/a,bonheur,2.0
162214,RelatedTo,heurt/n,heurter,2.0
162215,RelatedTo,hexagonal/a,hexagone,2.0
162216,RelatedTo,higgsinos/n,higgsino,2.0
162217,RelatedTo,highlanders/n,highlander,2.0
162218,RelatedTo,hindou/n,hindouisme,2.0
162219,RelatedTo,hindouisme/n,hindou,2.0
162220,RelatedTo,hindous/n,hindou,2.0
162221,RelatedTo,hipparchie/n,hipparque,2.0
162222,RelatedTo,hispanique/a,hispano,2.828
162223,RelatedTo,hispanique/a,hispano_américain,2.0
162224,RelatedTo,histochimique/a,histochimie,2.0
162225,RelatedTo,histochimiste/n,histochimie,2.0
162226,RelatedTo,histoire/n,passé,2.0
162227,RelatedTo,histoire/n,science,2.0
162228,RelatedTo,historicisme/n,historiciste,2.0
162229,RelatedTo,historiciste/a,historicisme,2.0
162230,RelatedTo,historien/n,histoire,2.0
162231,RelatedTo,historiographe/n,historiographie,2.0
162232,RelatedTo,historiographe/n,historiographier,2.0
162233,RelatedTo,historiographe/n,historiographique,2.0
162234,RelatedTo,hittites/n,hittite,2.0
162235,RelatedTo,hiver/n,hibernation,2.0
162236,RelatedTo,hiverner/v,hiver,2.0
162237,RelatedTo,hiéroglyphique/a,hiéroglyphe,2.0
162238,RelatedTo,holistique/a,holisme,2.0
162239,RelatedTo,hollandais/n,néerlandais,2.0
162240,RelatedTo,hollande_du_nord/n,hollande_septentrionale,2.0
162241,RelatedTo,hollande_du_sud/n,hollande_méridionale,2.0
162243,RelatedTo,holoédrie/n,holoédrique,2.0
162244,RelatedTo,holoédrique/a,holoèdre,2.0
162245,RelatedTo,home_jacking/n,car_jacking,2.0
162246,RelatedTo,home_jackings/n,home_jacking,2.0
162247,RelatedTo,homme/n,humain,2.828
162248,RelatedTo,homme/n,être_humain,2.0
162249,RelatedTo,homme_fourmi/n,créature,2.0
162250,RelatedTo,homme_fourmi/n,fourmi,2.0
162251,RelatedTo,homme_fourmi/n,humanoïde,2.0
162252,RelatedTo,homme_fourmi/n,personne,2.0
162253,RelatedTo,homme_fourmi/n,société,2.0
162254,RelatedTo,homme_fourmi/n,éloignement,2.0
162255,RelatedTo,hommes_d’_état/n,homme_d’_état,2.0
162256,RelatedTo,hommes_fourmis/n,homme_fourmi,2.0
162257,RelatedTo,hommes_troncs/n,homme_tronc,2.0
162258,RelatedTo,homomorphe/a,homomorphisme,2.0
162259,RelatedTo,homoparentalité/n,homoparental,2.0
162260,RelatedTo,homoscédastique/a,homoscédasticité,2.0
162261,RelatedTo,homothétie/n,homothétique,2.0
162262,RelatedTo,homothétique/a,homothétie,2.0
162263,RelatedTo,homéomorphe/a,homéomorphisme,2.0
162264,RelatedTo,homéopathie/n,homéopathe,2.0
162265,RelatedTo,homéopathie/n,homéopathique,2.0
162266,RelatedTo,homéotherme/a,homéothermie,2.0
162267,RelatedTo,honduras/n,hondurien,2.0
162268,RelatedTo,hongrois/n,hongrie,2.828
162269,RelatedTo,honorifique/a,honneur,2.0
162270,RelatedTo,honteux/a,honte,2.0
162271,RelatedTo,hoqueter/v,hoquet,2.0
162272,RelatedTo,horaire/n,heure,2.0
162273,RelatedTo,horizontal/a,horizon,2.0
162274,RelatedTo,horlogerie/n,horloge,2.0
162275,RelatedTo,horoptérique/a,horoptère,2.0
162276,RelatedTo,horreur/n,horrible,2.0
162277,RelatedTo,horrible/a,horreur,2.0
162278,RelatedTo,horrifier/v,horreur,2.0
162279,RelatedTo,horrifique/a,horreur,2.0
162280,RelatedTo,hors_d’_oeuvre,hors_d’œuvre,2.0
162281,RelatedTo,horticole/a,horticulture,2.0
162282,RelatedTo,hospitalier/a,hospice,2.0
162283,RelatedTo,hospitalier/a,hospitalité,2.0
162284,RelatedTo,hospitaliers/n,hospitalier,2.0
162285,RelatedTo,hospitaliser/v,hôpital,2.0
162286,RelatedTo,hostilité/n,hostile,2.0
162287,RelatedTo,hot_dogs/n,hot_dog,2.0
162288,RelatedTo,houille/n,charbon,2.0
162289,RelatedTo,houx_frelons/n,houx_frelon,2.0
162290,RelatedTo,htmlisa/v,htmliser,2.0
162291,RelatedTo,htmlisai/v,htmliser,2.0
162292,RelatedTo,htmlisaient/v,htmliser,2.0
162293,RelatedTo,htmlisais/v,htmliser,2.0
162294,RelatedTo,htmlisait/v,htmliser,2.0
162295,RelatedTo,htmlisant/v,htmliser,2.0
162296,RelatedTo,htmlisas/v,htmliser,2.0
162297,RelatedTo,htmlisasse/v,htmliser,2.0
162298,RelatedTo,htmlisassent/v,htmliser,2.0
162299,RelatedTo,htmlisasses/v,htmliser,2.0
162300,RelatedTo,htmlisassiez/v,htmliser,2.0
162301,RelatedTo,htmlisassions/v,htmliser,2.0
162302,RelatedTo,htmlise/v,htmliser,2.0
162303,RelatedTo,htmlisent/v,htmliser,2.0
162304,RelatedTo,htmliser/v,balise_html,2.0
162305,RelatedTo,htmlisera/v,htmliser,2.0
162306,RelatedTo,htmliserai/v,htmliser,2.0
162307,RelatedTo,htmliseraient/v,htmliser,2.0
162308,RelatedTo,htmliserais/v,htmliser,2.0
162309,RelatedTo,htmliserait/v,htmliser,2.0
162310,RelatedTo,htmliseras/v,htmliser,2.0
162311,RelatedTo,htmliserez/v,htmliser,2.0
162312,RelatedTo,htmliseriez/v,htmliser,2.0
162313,RelatedTo,htmliserions/v,htmliser,2.0
162314,RelatedTo,htmliserons/v,htmliser,2.0
162315,RelatedTo,htmliseront/v,htmliser,2.0
162316,RelatedTo,htmlises/v,htmliser,2.0
162317,RelatedTo,htmlisez/v,htmliser,2.0
162318,RelatedTo,htmlisiez/v,htmliser,2.0
162319,RelatedTo,htmlisions/v,htmliser,2.0
162320,RelatedTo,htmlisons/v,htmliser,2.0
162321,RelatedTo,htmlisâmes/v,htmliser,2.0
162322,RelatedTo,htmlisât/v,htmliser,2.0
162323,RelatedTo,htmlisâtes/v,htmliser,2.0
162324,RelatedTo,htmlisèrent/v,htmliser,2.0
162325,RelatedTo,htmlisé/v,htmliser,2.0
162326,RelatedTo,htmlisée/v,htmliser,2.0
162327,RelatedTo,htmlisées/v,htmliser,2.0
162328,RelatedTo,htmlisés/v,htmliser,2.0
162329,RelatedTo,huer/v,huée,2.0
162330,RelatedTo,huis_clos/n,huissier,2.0
162331,RelatedTo,humble/a,humiliation,2.0
162332,RelatedTo,humble/a,humilier,2.0
162333,RelatedTo,humble/a,humilité,2.0
162334,RelatedTo,humeur/n,humour,2.0
162335,RelatedTo,humidifier/v,humide,2.0
162336,RelatedTo,humidifier/v,humidificateur,2.0
162337,RelatedTo,humidifier/v,humidité,2.0
162338,RelatedTo,humiliation/n,humiliant,2.0
162339,RelatedTo,humoriste/n,humour,2.0
162340,RelatedTo,humoristique/a,humour,2.0
162341,RelatedTo,hungarophobie/n,hongrois,2.0
162342,RelatedTo,huns/n,hun,2.0
162343,RelatedTo,huron/n,amérindien,2.0
162344,RelatedTo,hutus/a,hutu,2.0
162345,RelatedTo,hydrocéphale/a,hydrocéphalie,2.0
162346,RelatedTo,hydrocéphalie/n,hydrocéphale,2.0
162347,RelatedTo,hydrogéologique/a,hydrogéologie,2.0
162348,RelatedTo,hydrogéologue/n,hydrogéologie,2.0
162349,RelatedTo,hydropique/a,hydropisie,2.0
162350,RelatedTo,hydroélectricité/n,hydroélectrique,2.0
162351,RelatedTo,hygiénique/a,hygiène,2.0
162352,RelatedTo,hyperactif/n,hyperactivité,2.0
162353,RelatedTo,hypergraphe/n,hypergraphie,2.0
162354,RelatedTo,hypergraphe/n,hypergraphique,2.0
162355,RelatedTo,hyperlier/v,hyperlien,2.0
162356,RelatedTo,hypermétropie/n,hypermétrope,2.0
162357,RelatedTo,hyperréalisme/n,hyperréaliste,2.0
162358,RelatedTo,hypersonique/a,supersonique,2.0
162359,RelatedTo,hypnothérapeute/n,hypnothérapie,2.0
162360,RelatedTo,hypnothérapie/n,hypnothérapeute,2.0
162361,RelatedTo,hypocrisie/n,hypocrite,2.0
162362,RelatedTo,hypokhâgne/n,khâgne,2.0
162363,RelatedTo,hypothécaire/a,hypothèque,2.0
162364,RelatedTo,hystérie/n,hystérique,2.0
162365,RelatedTo,hébraïque/a,hébreu,2.828
162366,RelatedTo,hébronites/n,hébronite,2.0
162367,RelatedTo,hédonisme/n,hédoniste,2.0
162368,RelatedTo,hégire/n,la_mecque,2.0
162369,RelatedTo,hégire/n,médine,2.0
162370,RelatedTo,hégémonie/n,hégémonique,2.0
162371,RelatedTo,héliciculture/n,hélicicole,2.0
162372,RelatedTo,héliciculture/n,héliciculteur,2.0
162373,RelatedTo,hélicoptère/n,hélice,2.0
162374,RelatedTo,hélio,soleil,2.0
162375,RelatedTo,héliocentrique/a,héliocentrisme,2.0
162376,RelatedTo,héliocentrisme/n,héliocentrique,2.0
162377,RelatedTo,héliogaine/n,héliopause,2.0
162378,RelatedTo,héliogaine/n,héliosphère,2.0
162379,RelatedTo,héliographie/n,héliographe,2.0
162380,RelatedTo,héliotrope/a,soleil,2.0
162381,RelatedTo,héliport/n,hélicoptère,2.0
162382,RelatedTo,héliport/n,héliporter,2.0
162383,RelatedTo,héliporter/v,hélicoptère,2.0
162384,RelatedTo,hématopoïèse/n,hématopoïétique,2.0
162385,RelatedTo,hémiplégique/a,hémiplégie,2.0
162386,RelatedTo,hémolysine/n,hémolyse,2.0
162387,RelatedTo,hémosporidies/n,hématozoaires,2.0
162388,RelatedTo,hépatologue/n,hépatologie,2.0
162389,RelatedTo,hérens/n,suisse,2.0
162390,RelatedTo,hérens/n,valais,2.0
162391,RelatedTo,hériter/v,héritier,2.0
162392,RelatedTo,héritier/n,hoir,2.0
162393,RelatedTo,héritier/n,hériter,2.0
162394,RelatedTo,héros/n,héroïne,2.0
162395,RelatedTo,héros/n,héroïque,2.0
162396,RelatedTo,héros/n,héroïsme,2.0
162397,RelatedTo,héroïnomanie/n,héroïnomane,2.0
162398,RelatedTo,hérédité/n,héréditaire,2.0
162399,RelatedTo,hérésiarque/n,hérésie,2.0
162400,RelatedTo,hétérocratie/n,hétérocrate,2.0
162401,RelatedTo,hétérostructure/n,hétérojonction,2.0
162402,RelatedTo,hôte/n,hôtel,2.0
162403,RelatedTo,hôtel_dieu/n,bâtiment,2.0
162404,RelatedTo,hôtel_dieu/n,santé,2.0
162405,RelatedTo,hôtel_dieu/n,établissement,2.0
162406,RelatedTo,i_grec/n,y,2.0
162407,RelatedTo,iakoutes/n,iakoute,2.0
162408,RelatedTo,iatro,iatrie,2.0
162409,RelatedTo,ibizois/n,ibiza,2.0
162410,RelatedTo,ibérie/n,ibéro,2.0
162411,RelatedTo,ibérique/a,ibérie,2.0
162412,RelatedTo,icariennes/n,icarienne,2.0
162413,RelatedTo,icariens/n,icarien,2.0
162414,RelatedTo,ice_cream/n,crème_glacée,2.0
162415,RelatedTo,ichtyologie/n,ichtyologue,2.0
162416,RelatedTo,ichtyologique/a,ichtyologie,2.0
162417,RelatedTo,iconoclasme/n,iconoclaste,2.0
162418,RelatedTo,iconoclaste/a,aniconisme,2.0
162419,RelatedTo,iconoclaste/a,iconoclasme,2.0
162420,RelatedTo,iconoclaste/a,iconoclastie,2.0
162421,RelatedTo,iconoclaste/a,orchidoclaste,2.0
162422,RelatedTo,iconographe/n,iconographie,2.0
162423,RelatedTo,idole/n,idolâtre,2.0
162424,RelatedTo,idole/n,idolâtrer,2.0
162425,RelatedTo,idole/n,idolâtrie,2.0
162426,RelatedTo,idées_maîtresses/n,idée_maîtresse,2.0
162427,RelatedTo,idéographique/a,idéographie,2.0
162428,RelatedTo,ificateur,ification,2.0
162429,RelatedTo,ificateur,ifier,2.0
162430,RelatedTo,ik/n,ouganda,2.0
162431,RelatedTo,illettrisme/n,illettré,2.0
162432,RelatedTo,illumination/n,illuminer,2.0
162433,RelatedTo,illusionnisme/n,illusionniste,2.0
162434,RelatedTo,illusoire/a,illusion,2.0
162435,RelatedTo,illustrateur/n,illustration,2.0
162436,RelatedTo,illustration/n,illustrer,2.0
162437,RelatedTo,illustrer/v,illustration,2.0
162438,RelatedTo,illégitime/a,légitime,2.0
162439,RelatedTo,ilo_dionysiens/n,ilo_dionysien,2.0
162440,RelatedTo,ilodionysiens/n,ilodionysien,2.0
162441,RelatedTo,ilotier/n,ilotage,2.0
162442,RelatedTo,im,in,2.0
162443,RelatedTo,image/n,imaginer,2.0
162444,RelatedTo,imagination/n,imaginer,2.0
162445,RelatedTo,imberbe/a,barbe,2.0
162446,RelatedTo,immersion/n,immerger,2.0
162447,RelatedTo,immobile/a,immobilier,2.0
162448,RelatedTo,immobile/a,immobilisation,2.0
162449,RelatedTo,immobile/a,immobiliser,2.0
162450,RelatedTo,immobile/a,immobilité,2.0
162451,RelatedTo,immolation/n,immoler,2.0
162452,RelatedTo,immuniser/v,immunité,2.0
162453,RelatedTo,immunitaire/a,immuniser,2.0
162454,RelatedTo,immunitaire/a,immunité,2.0
162455,RelatedTo,immunité/n,immuniser,2.0
162456,RelatedTo,immunité/n,immunitaire,2.0
162457,RelatedTo,immunodéficience/n,immunodéficient,2.0
162458,RelatedTo,immunodéficient/a,immunodéficience,2.0
162459,RelatedTo,importateur/n,importation,2.0
162460,RelatedTo,impression/n,imprimer,2.0
162461,RelatedTo,imprimer/v,impression,2.0
162462,RelatedTo,imprimerie/n,imprimante,2.0
162463,RelatedTo,imprudence/n,imprudent,2.0
162464,RelatedTo,imprudent/a,imprudence,2.0
162465,RelatedTo,impudemment/r,impudence,2.0
162466,RelatedTo,impudicité/n,impudique,2.0
162467,RelatedTo,impérial/a,empire,2.0
162468,RelatedTo,in_4º/a,in_quarto,2.0
162469,RelatedTo,in_4º/n,in_quarto,2.0
162470,RelatedTo,in_8vo/a,in_octavo,2.0
162471,RelatedTo,in_8vo/n,in_octavo,2.0
162472,RelatedTo,inattesté/a,attestation,2.0
162473,RelatedTo,incandescent/a,incandescence,2.0
162474,RelatedTo,incardination/n,église,2.0
162475,RelatedTo,incarnation/n,dieu,2.0
162476,RelatedTo,incarnation/n,incarner,2.0
162477,RelatedTo,incarner/v,chair,2.0
162478,RelatedTo,inch_allah,inch’_allah,2.0
162479,RelatedTo,inclination/n,incliner,2.0
162480,RelatedTo,incliner/v,inclination,2.0
162481,RelatedTo,incompétence/n,compétence,2.0
162482,RelatedTo,incontrôlable/a,contrôler,2.0
162483,RelatedTo,inconvenance/n,inconvenant,2.0
162484,RelatedTo,inconvenant/a,inconvenance,2.0
162485,RelatedTo,incorrigible/a,corriger,2.0
162486,RelatedTo,incriminer/v,crime,2.0
162487,RelatedTo,incrédule/n,incrédulité,2.0
162488,RelatedTo,incuber/v,incubation,2.0
162489,RelatedTo,indemne/a,dommage,2.0
162490,RelatedTo,indemnisation/n,indemniser,2.0
162491,RelatedTo,indemniser/v,indemnisation,2.0
162492,RelatedTo,indes/n,inde,2.0
162493,RelatedTo,indien/a,inde,2.0
162494,RelatedTo,indienne/n,inde,2.0
162495,RelatedTo,indigne/a,digne,2.0
162496,RelatedTo,indignité/n,indigne,2.0
162497,RelatedTo,indirectement/r,indirect,2.0
162498,RelatedTo,indiscrétion/n,indiscret,2.0
162499,RelatedTo,individuel/a,individu,2.0
162500,RelatedTo,indo_européens/n,indo_européen,2.0
162501,RelatedTo,indonésien/n,indonésie,2.828
162502,RelatedTo,indonésiens/n,indonésien,2.0
162503,RelatedTo,induire/v,induction,2.0
162504,RelatedTo,indépendance/n,dépendance,2.0
162505,RelatedTo,indépendantiste/n,indépendance,2.0
162506,RelatedTo,indéterministe/n,indéterminisme,2.0
162507,RelatedTo,inertie/n,inerte,2.0
162508,RelatedTo,infamie/n,infâme,2.0
162509,RelatedTo,infecter/v,infection,2.0
162510,RelatedTo,infinité/n,infini,2.0
162511,RelatedTo,information/n,informateur,2.0
162512,RelatedTo,information/n,informatif,2.0
162513,RelatedTo,information/n,informatique,2.0
162514,RelatedTo,information/n,informer,2.0
162515,RelatedTo,informer/v,information,2.0
162516,RelatedTo,infortune/n,fortune,2.0
162517,RelatedTo,infuser/v,infusion,2.0
162518,RelatedTo,infécond/a,infécondité,2.0
162519,RelatedTo,ingouche/n,ingouchie,2.0
162520,RelatedTo,ingouche/n,kazakhstan,2.0
162521,RelatedTo,ingouche/n,ossétie_du_nord,2.0
162522,RelatedTo,ingouche/n,ouzbékistan,2.0
162523,RelatedTo,ingouche/n,russie,2.0
162524,RelatedTo,ingouche/n,tchétchénie,2.0
162525,RelatedTo,ingérer/v,ingestion,2.0
162526,RelatedTo,injection/n,injecter,2.0
162527,RelatedTo,innovant/a,innovation,2.0
162528,RelatedTo,innovant/a,novateur,2.0
162529,RelatedTo,innovation/n,innovateur,2.0
162530,RelatedTo,innovation/n,innover,2.0
162531,RelatedTo,inoccupé/a,occuper,2.0
162532,RelatedTo,inondation/n,inonder,2.0
162533,RelatedTo,inox/n,acier_inoxydable,2.0
162534,RelatedTo,inquiéter/v,inquiet,2.0
162535,RelatedTo,inquiétude/n,inquiet,2.0
162536,RelatedTo,inscrire/v,inscription,2.0
162537,RelatedTo,insensibiliser/v,insensibilisation,2.0
162538,RelatedTo,insurger/v,insurrection,2.0
162539,RelatedTo,insurrection/n,insurger,2.0
162540,RelatedTo,intelligent/a,intelligence,2.0
162541,RelatedTo,intempestif/a,intempestivité,2.0
162542,RelatedTo,intensité/n,intense,2.0
162543,RelatedTo,intercalaire/a,intercaler,2.0
162544,RelatedTo,intercalation/n,intercaler,2.0
162545,RelatedTo,intercaler/v,intercalaire,2.0
162546,RelatedTo,interdiction/n,interdire,2.0
162547,RelatedTo,interférent/a,interférence,2.0
162548,RelatedTo,interféromètre/n,interférométrie,2.0
162549,RelatedTo,interféromètre/n,interférométrique,2.0
162550,RelatedTo,interférométrie/n,interféromètre,2.0
162551,RelatedTo,interjectif/a,interjection,2.0
162552,RelatedTo,interpréter/v,interprète,2.0
162553,RelatedTo,interpréter/v,interprétation,2.0
162554,RelatedTo,interrogatoire/n,interroger,2.0
162555,RelatedTo,interroger/v,interrogateur,2.0
162556,RelatedTo,interroger/v,interrogation,2.0
162557,RelatedTo,interrompre/v,rompre,2.0
162558,RelatedTo,interruption/n,interrompre,2.0
162559,RelatedTo,intersexualité/n,intersexe,2.0
162560,RelatedTo,intestin_grêle/n,gros_intestin,2.0
162561,RelatedTo,intransigeance/n,intransigeant,2.0
162562,RelatedTo,intransitivement/r,intransitif,2.0
162563,RelatedTo,intransitivité/n,intransitif,2.0
162564,RelatedTo,introducteur/n,introduction,2.0
162565,RelatedTo,introducteur/n,introduire,2.0
162566,RelatedTo,introduction/n,introduire,2.0
162567,RelatedTo,intuitif/a,intuition,2.0
162568,RelatedTo,intuition/n,intuitif,2.0
162569,RelatedTo,intègre/a,intégral,2.0
162570,RelatedTo,intègre/a,intégrer,2.0
162571,RelatedTo,intègre/a,intégrité,2.0
162572,RelatedTo,intégrable/a,intégrer,2.0
162573,RelatedTo,intégral/a,intègre,2.0
162574,RelatedTo,intégral/a,intégrité,2.0
162575,RelatedTo,intégration/n,intégrer,2.0
162576,RelatedTo,intégrer/v,désintégrable,2.0
162577,RelatedTo,intégrer/v,désintégrateur,2.0
162578,RelatedTo,intégrer/v,désintégration,2.0
162579,RelatedTo,intégrer/v,désintégrer,2.0
162580,RelatedTo,intégrer/v,inintégrable,2.0
162581,RelatedTo,intégrer/v,intègre,2.0
162582,RelatedTo,intégrer/v,intègrement,2.0
162583,RelatedTo,intégrer/v,intégrabilité,2.0
162584,RelatedTo,intégrer/v,intégrable,2.0
162585,RelatedTo,intégrer/v,intégral,2.0
162586,RelatedTo,intégrer/v,intégrale,2.0
162587,RelatedTo,intégrer/v,intégralement,2.0
162588,RelatedTo,intégrer/v,intégralité,2.0
162589,RelatedTo,intégrer/v,intégrande,2.0
162590,RelatedTo,intégrer/v,intégrant,2.0
162591,RelatedTo,intégrer/v,intégrateur,2.0
162592,RelatedTo,intégrer/v,intégration,2.0
162593,RelatedTo,intégrer/v,intégrationnisme,2.0
162594,RelatedTo,intégrer/v,intégrationniste,2.0
162595,RelatedTo,intégrer/v,intégrimètre,2.0
162596,RelatedTo,intégrer/v,intégrisme,2.0
162597,RelatedTo,intégrer/v,intégriste,2.0
162598,RelatedTo,intégrer/v,intégrité,2.0
162599,RelatedTo,intégrer/v,intégromètre,2.0
162600,RelatedTo,intégrer/v,redintégration,2.0
162601,RelatedTo,intégrer/v,réintégrable,2.0
162602,RelatedTo,intégrer/v,réintégrande,2.0
162603,RelatedTo,intégrer/v,réintégration,2.0
162604,RelatedTo,intégrer/v,réintégrer,2.0
162605,RelatedTo,intégrité/n,intègre,2.0
162606,RelatedTo,inuktitut/n,inuit,2.828
162607,RelatedTo,inutilité/n,inutile,2.0
162608,RelatedTo,invasif/a,invasion,2.0
162609,RelatedTo,invasion/n,envahir,2.0
162610,RelatedTo,inventaire/n,état,2.0
162611,RelatedTo,inventer/v,inventeur,2.0
162612,RelatedTo,inventeur/n,invention,2.0
162613,RelatedTo,inventif/a,inventer,2.0
162614,RelatedTo,invention/n,inventer,2.0
162615,RelatedTo,investissement/n,investir,2.0
162616,RelatedTo,invitation/n,inviter,2.0
162617,RelatedTo,invocation/n,invoquer,2.0
162618,RelatedTo,inégalité/n,inégal,2.0
162619,RelatedTo,inégalité/n,égalité,2.0
162620,RelatedTo,inélasticité/n,inélastique,2.0
162621,RelatedTo,ion,tion,2.0
162622,RelatedTo,iota/n,ι,2.0
162623,RelatedTo,ir,ire,2.0
162624,RelatedTo,iraniens/n,iranien,2.0
162625,RelatedTo,ircam/n,création,2.0
162626,RelatedTo,ircam/n,musicale,2.0
162627,RelatedTo,ircam/n,recherche,2.0
162628,RelatedTo,iridologie/n,iridologue,2.0
162630,RelatedTo,irlandais/n,irlande,2.0
162631,RelatedTo,irlande/n,irlandais,2.0
162632,RelatedTo,irlande_du_nord/n,irlande,2.0
162633,RelatedTo,ironique/a,ironie,2.0
162634,RelatedTo,ironiser/v,ironie,2.0
162635,RelatedTo,ironiser/v,ironique,2.0
162636,RelatedTo,irrigation/n,irriguer,2.0
162637,RelatedTo,irriguer/v,irrigation,2.0
162638,RelatedTo,irréfléchi/a,réflexion,2.0
162639,RelatedTo,irrégulier/a,règle,2.0
162640,RelatedTo,islam/n,religion,2.0
162641,RelatedTo,islamisme/n,islam,2.828
162642,RelatedTo,islamisme/n,islamiste,2.0
162643,RelatedTo,islamologie/n,islamologue,2.0
162644,RelatedTo,islamologue/n,islamologie,2.0
162645,RelatedTo,islamophobie/n,islam,2.0
162646,RelatedTo,islande/n,islandais,2.0
162647,RelatedTo,isobutane/n,butane,2.0
162648,RelatedTo,isolation/n,isoler,2.0
162649,RelatedTo,isomorphisme/n,isomorphe,2.0
162650,RelatedTo,isoscédasticité/n,isoscédastique,2.0
162651,RelatedTo,isoscédastique/a,isoscédasticité,2.0
162652,RelatedTo,israélite/n,israélien,2.0
162653,RelatedTo,israélite/n,juif,2.0
162654,RelatedTo,israélites/n,israélite,2.0
162655,RelatedTo,italien/n,italie,2.828
162656,RelatedTo,italiens/n,italien,2.0
162657,RelatedTo,italo_suisse/a,suisse,2.0
162658,RelatedTo,ithyphalle/n,phallus,2.0
162659,RelatedTo,ivoirienne/n,ivoirien,2.0
162660,RelatedTo,ivre_mort/a,au_point_d,2.0
162661,RelatedTo,ivre_mort/a,conscience,2.0
162662,RelatedTo,ivre_mort/a,ivre,2.0
162663,RelatedTo,ivre_mort/a,perdre,2.0
162664,RelatedTo,ivre_mort/a,tout,2.0
162665,RelatedTo,ivre_morte/a,ivre_mort,2.0
162666,RelatedTo,ivres_mortes/a,ivre_mort,2.0
162667,RelatedTo,ivres_morts/a,ivre_mort,2.0
162668,RelatedTo,ixe/n,x,2.0
162669,RelatedTo,j/n,je,2.0
162670,RelatedTo,j_c/n,jésus_christ,2.0
162671,RelatedTo,jack_russell/n,terrier_jack_russell,2.828
162672,RelatedTo,jacobin/n,ancien,2.0
162673,RelatedTo,jacobin/n,couvent,2.0
162674,RelatedTo,jacobin/n,début,2.0
162675,RelatedTo,jacobin/n,groupement,2.0
162676,RelatedTo,jacobin/n,membre,2.0
162677,RelatedTo,jacobin/n,opinion,2.0
162678,RelatedTo,jacobin/n,paris,2.0
162679,RelatedTo,jacobin/n,politique,2.0
162680,RelatedTo,jacobin/n,révolution,2.0
162681,RelatedTo,jacobin/n,révolutionnaire,2.0
162682,RelatedTo,jacobin/n,signaler,2.0
162683,RelatedTo,jacobin/n,tard,2.0
162684,RelatedTo,jacobin/n,établir,2.0
162685,RelatedTo,jacquots/n,jacquot,2.0
162686,RelatedTo,jam_sessions/n,jam_session,2.0
162687,RelatedTo,jan/n,trictrac,2.0
162688,RelatedTo,japonais/n,japon,2.0
162689,RelatedTo,jardin_public/n,jardin,2.0
162690,RelatedTo,jardinage/n,jardin,2.0
162691,RelatedTo,jardiner/v,jardin,2.0
162692,RelatedTo,jaspé/a,jaspe,2.0
162693,RelatedTo,java/n/wikt/fr_2,langage_de_programmation,2.0
162694,RelatedTo,javanaise/n,javanais,2.0
162695,RelatedTo,javanaises/n,javanais,2.0
162696,RelatedTo,javascriptiser/v,javascript,2.0
162697,RelatedTo,jaï_alaïs/n,jaï_alaï,2.0
162698,RelatedTo,jehovah/n,dieu,2.0
